0,	0,	0.0,	0.0
0.867000043392,	0.11856726557,	0.941832807405,	0.10081763184
0.870000064373,	0.11897752434,	0.865133838874,	0.127692798542
0.872000038624,	0.119251035154,	0.789225356144,	0.0712201370758
0.866000056267,	0.118430502713,	0.686931680313,	0.0960741782819
0.868000030518,	0.118704013526,	1.05173054236,	0.0819282747666
0.868000030518,	0.118704013526,	1.00945344391,	0.100628446903
0.868000030518,	0.118704013526,	0.931760031562,	0.142494735545
0.867000043392,	0.11856726557,	0.802678870566,	0.116357089592
0.869000017643,	0.118840768933,	1.00555729195,	0.150291152649
0.867000043392,	0.11856726557,	0.771603394658,	0.123587572867
0.869000017643,	0.118840768933,	0.796109777943,	0.151069234851
0.869000017643,	0.118840768933,	0.97093826375,	0.131710685565
0.869000017643,	0.118840768933,	0.764960872788,	0.112473405158
0.869000017643,	0.118840768933,	1.07553808992,	0.0628322235849
0.867000043392,	0.11856726557,	0.692243133818,	0.108410581445
0.872000038624,	0.119251035154,	0.724592021225,	0.14403249924
0.867000043392,	0.11856726557,	0.904495446429,	0.0857045211934
0.870000064373,	0.11897752434,	0.781208681367,	0.140651276848
0.870000064373,	0.11897752434,	0.712744150353,	0.0854676440097
0.866000056267,	0.118430502713,	0.643277175708,	0.209130715204
0.867000043392,	0.11856726557,	0.889722400046,	0.132310430355
0.866000056267,	0.118430502713,	0.808051471461,	0.2508627756
0.866000056267,	0.118430502713,	0.863339131673,	0.056969960942
0.865000069141,	0.118293747306,	0.782500500525,	0.138922199065
0.867000043392,	0.11856726557,	0.968804474243,	0.125413735813
0.869000017643,	0.118840768933,	0.795523995461,	0.177759832424
0.870000064373,	0.11897752434,	0.819214584754,	0.0627219820025
0.867000043392,	0.11856726557,	0.891863139579,	0.114909606481
0.867000043392,	0.11856726557,	0.97782567689,	0.171890191867
0.868000030518,	0.118704013526,	0.876766688622,	0.187366340709
0.868000030518,	0.118704013526,	0.77251382692,	0.0735412618305
0.868000030518,	0.118704013526,	0.971223612013,	0.0577985326533
0.869000017643,	0.118840768933,	0.967733070853,	0.183669197111
0.867000043392,	0.11856726557,	0.777792355874,	0.083393307895
0.869000017643,	0.118840768933,	1.07981922356,	0.12757924564
0.867000043392,	0.11856726557,	0.770858120198,	0.169143553055
0.866000056267,	0.118430502713,	0.850371608538,	0.055491119015
0.864000022411,	0.118156991899,	0.863068160486,	0.130975768609
0.869000017643,	0.118840768933,	-0.044265654758,	-2.58246698999
0.870000064373,	0.11897752434,	0.885840772857,	0.0294658197949
0.868000030518,	0.118704013526,	0.676620145955,	0.157466118009
0.870000064373,	0.11897752434,	0.798101946828,	0.19655149735
0.866000056267,	0.118430502713,	1.0064194124,	0.152952161054
0.870000064373,	0.11897752434,	0.808531787851,	0.18190454934
0.867000043392,	0.11856726557,	0.906782048104,	0.164581522879
